key	network	position_x	position_y	template
#teleportation_network_nodes_tables;0;db/teleportation_network_nodes_tables/dyn_dis				
dyn_dis_wh3_dlc20_combi_province_frigid_wasteland	dyn_dis_chaos_invasion_network	271	900	
dyn_dis_wh3_dlc20_combi_province_middle_mountains	dyn_dis_chaos_invasion_network	593	725	
dyn_dis_wh3_main_combi_province_albion	dyn_dis_chaos_invasion_network	366	757	
dyn_dis_wh3_main_combi_province_ancient_giant_lands	dyn_dis_chaos_invasion_network	1011	667	
dyn_dis_wh3_main_combi_province_argwylon	dyn_dis_chaos_invasion_network	523	558	
dyn_dis_wh3_main_combi_province_ashen_coast	dyn_dis_chaos_invasion_network	17	585	
dyn_dis_wh3_main_combi_province_atalan_mountains	dyn_dis_chaos_invasion_network	465	295	
dyn_dis_wh3_main_combi_province_avelorn	dyn_dis_chaos_invasion_network	266	582	
dyn_dis_wh3_main_combi_province_averland	dyn_dis_chaos_invasion_network	627	594	
dyn_dis_wh3_main_combi_province_axe_bite_pass	dyn_dis_chaos_invasion_network	484	614	
dyn_dis_wh3_main_combi_province_aymara_swamps	dyn_dis_chaos_invasion_network	108	404	
dyn_dis_wh3_main_combi_province_barrier_idols	dyn_dis_chaos_invasion_network	705	349	
dyn_dis_wh3_main_combi_province_barrows_of_cuileux	dyn_dis_chaos_invasion_network	458	555	
dyn_dis_wh3_main_combi_province_bastonne	dyn_dis_chaos_invasion_network	440	597	
dyn_dis_wh3_main_combi_province_black_blood_pass	dyn_dis_chaos_invasion_network	703	796	
dyn_dis_wh3_main_combi_province_black_mountains	dyn_dis_chaos_invasion_network	597	544	
dyn_dis_wh3_main_combi_province_black_water	dyn_dis_chaos_invasion_network	726	602	
dyn_dis_wh3_main_combi_province_blightwater	dyn_dis_chaos_invasion_network	720	386	
dyn_dis_wh3_main_combi_province_blood_river_valley	dyn_dis_chaos_invasion_network	660	517	
dyn_dis_wh3_main_combi_province_bloodfire_falls	dyn_dis_chaos_invasion_network	778	912	
dyn_dis_wh3_main_combi_province_bone_road	dyn_dis_chaos_invasion_network	1019	601	
dyn_dis_wh3_main_combi_province_broken_lands_of_tian_li	dyn_dis_chaos_invasion_network	1165	433	
dyn_dis_wh3_main_combi_province_broken_teeth	dyn_dis_chaos_invasion_network	841	396	
dyn_dis_wh3_main_combi_province_caledor	dyn_dis_chaos_invasion_network	216	510	
dyn_dis_wh3_main_combi_province_carcassonne	dyn_dis_chaos_invasion_network	455	510	
dyn_dis_wh3_main_combi_province_celestial_lake	dyn_dis_chaos_invasion_network	1284	527	
dyn_dis_wh3_main_combi_province_celestial_riverlands	dyn_dis_chaos_invasion_network	1246	469	
dyn_dis_wh3_main_combi_province_central_great_bastion	dyn_dis_chaos_invasion_network	1206	655	
dyn_dis_wh3_main_combi_province_central_jungles	dyn_dis_chaos_invasion_network	628	164	
dyn_dis_wh3_main_combi_province_chimera_plateau	dyn_dis_chaos_invasion_network	1028	735	
dyn_dis_wh3_main_combi_province_chrace	dyn_dis_chaos_invasion_network	307	620	
dyn_dis_wh3_main_combi_province_coast_of_araby	dyn_dis_chaos_invasion_network	499	332	
dyn_dis_wh3_main_combi_province_coast_of_lyonesse	dyn_dis_chaos_invasion_network	367	621	
dyn_dis_wh3_main_combi_province_copper_desert	dyn_dis_chaos_invasion_network	98	207	
dyn_dis_wh3_main_combi_province_cothique	dyn_dis_chaos_invasion_network	324	615	
dyn_dis_wh3_main_combi_province_crater_of_the_waking_dead	dyn_dis_chaos_invasion_network	806	355	
dyn_dis_wh3_main_combi_province_culchan_plains	dyn_dis_chaos_invasion_network	214	140	
dyn_dis_wh3_main_combi_province_dawns_landing	dyn_dis_chaos_invasion_network	549	78	
dyn_dis_wh3_main_combi_province_deadrock_gap	dyn_dis_chaos_invasion_network	806	578	
dyn_dis_wh3_main_combi_province_deadwood	dyn_dis_chaos_invasion_network	278	863	
dyn_dis_wh3_main_combi_province_death_pass	dyn_dis_chaos_invasion_network	759	474	
dyn_dis_wh3_main_combi_province_devils_backbone	dyn_dis_chaos_invasion_network	732	308	
dyn_dis_wh3_main_combi_province_doom_glades	dyn_dis_chaos_invasion_network	94	648	
dyn_dis_wh3_main_combi_province_eagle_gate	dyn_dis_chaos_invasion_network	177	572	
dyn_dis_wh3_main_combi_province_eastern_badlands	dyn_dis_chaos_invasion_network	743	413	
dyn_dis_wh3_main_combi_province_eastern_border_princes	dyn_dis_chaos_invasion_network	671	548	
dyn_dis_wh3_main_combi_province_eastern_colonies	dyn_dis_chaos_invasion_network	989	141	
dyn_dis_wh3_main_combi_province_eastern_great_bastion	dyn_dis_chaos_invasion_network	1239	658	
dyn_dis_wh3_main_combi_province_eastern_oblast	dyn_dis_chaos_invasion_network	794	770	
dyn_dis_wh3_main_combi_province_eastern_steppes	dyn_dis_chaos_invasion_network	1246	708	
dyn_dis_wh3_main_combi_province_eataine	dyn_dis_chaos_invasion_network	242	515	
dyn_dis_wh3_main_combi_province_eight_peaks	dyn_dis_chaos_invasion_network	768	451	
dyn_dis_wh3_main_combi_province_ellyrion	dyn_dis_chaos_invasion_network	209	547	
dyn_dis_wh3_main_combi_province_estalia	dyn_dis_chaos_invasion_network	412	438	
dyn_dis_wh3_main_combi_province_forest_of_arden	dyn_dis_chaos_invasion_network	404	648	
dyn_dis_wh3_main_combi_province_forest_of_chalons	dyn_dis_chaos_invasion_network	471	575	
dyn_dis_wh3_main_combi_province_forest_of_gloom	dyn_dis_chaos_invasion_network	692	543	
dyn_dis_wh3_main_combi_province_forests_of_the_moon	dyn_dis_chaos_invasion_network	1243	579	
dyn_dis_wh3_main_combi_province_gash_kadrak	dyn_dis_chaos_invasion_network	970	673	
dyn_dis_wh3_main_combi_province_gianthome_mountains	dyn_dis_chaos_invasion_network	716	850	
dyn_dis_wh3_main_combi_province_gisoreux_gap	dyn_dis_chaos_invasion_network	453	646	
dyn_dis_wh3_main_combi_province_gnoblar_country	dyn_dis_chaos_invasion_network	983	463	
dyn_dis_wh3_main_combi_province_goromadny_mountains	dyn_dis_chaos_invasion_network	814	767	
dyn_dis_wh3_main_combi_province_granite_hills	dyn_dis_chaos_invasion_network	218	785	
dyn_dis_wh3_main_combi_province_great_desert_of_araby	dyn_dis_chaos_invasion_network	488	256	
dyn_dis_wh3_main_combi_province_great_mortis_delta	dyn_dis_chaos_invasion_network	583	273	
dyn_dis_wh3_main_combi_province_griffon_gate	dyn_dis_chaos_invasion_network	205	586	
dyn_dis_wh3_main_combi_province_gryphon_wood	dyn_dis_chaos_invasion_network	681	673	
dyn_dis_wh3_main_combi_province_gunpowder_road	dyn_dis_chaos_invasion_network	1150	654	
dyn_dis_wh3_main_combi_province_headhunters_jungle	dyn_dis_chaos_invasion_network	237	198	
dyn_dis_wh3_main_combi_province_heart_of_the_jungle	dyn_dis_chaos_invasion_network	653	210	
dyn_dis_wh3_main_combi_province_helspire_mountains	dyn_dis_chaos_invasion_network	463	865	
dyn_dis_wh3_main_combi_province_hochland	dyn_dis_chaos_invasion_network	613	697	
dyn_dis_wh3_main_combi_province_ice_tooth_mountains	dyn_dis_chaos_invasion_network	491	780	
dyn_dis_wh3_main_combi_province_imperial_road	dyn_dis_chaos_invasion_network	1291	634	
dyn_dis_wh3_main_combi_province_iron_coast	dyn_dis_chaos_invasion_network	37	850	
dyn_dis_wh3_main_combi_province_iron_foothills	dyn_dis_chaos_invasion_network	104	821	
dyn_dis_wh3_main_combi_province_iron_mountains	dyn_dis_chaos_invasion_network	62	821	
dyn_dis_wh3_main_combi_province_ironfrost_glacier	dyn_dis_chaos_invasion_network	158	895	
dyn_dis_wh3_main_combi_province_ironsand_desert	dyn_dis_chaos_invasion_network	28	636	
dyn_dis_wh3_main_combi_province_irrana_mountains	dyn_dis_chaos_invasion_network	399	468	
dyn_dis_wh3_main_combi_province_isthmus_of_lustria	dyn_dis_chaos_invasion_network	81	490	
dyn_dis_wh3_main_combi_province_ivory_road	dyn_dis_chaos_invasion_network	1018	504	
dyn_dis_wh3_main_combi_province_jade_river_delta	dyn_dis_chaos_invasion_network	1358	565	
dyn_dis_wh3_main_combi_province_jungles_of_chian	dyn_dis_chaos_invasion_network	1307	396	
dyn_dis_wh3_main_combi_province_jungles_of_green_mist	dyn_dis_chaos_invasion_network	28	343	
dyn_dis_wh3_main_combi_province_jungles_of_pahualaxa	dyn_dis_chaos_invasion_network	100	422	
dyn_dis_wh3_main_combi_province_kdatha	dyn_dis_chaos_invasion_network	994	830	
dyn_dis_wh3_main_combi_province_kingdom_of_beasts	dyn_dis_chaos_invasion_network	774	259	
dyn_dis_wh3_main_combi_province_land_of_assassins	dyn_dis_chaos_invasion_network	425	269	
dyn_dis_wh3_main_combi_province_land_of_the_dead	dyn_dis_chaos_invasion_network	609	299	
dyn_dis_wh3_main_combi_province_land_of_the_dervishes	dyn_dis_chaos_invasion_network	559	246	
dyn_dis_wh3_main_combi_province_lands_of_stone_and_steel	dyn_dis_chaos_invasion_network	1213	623	
dyn_dis_wh3_main_combi_province_marches_of_couronne	dyn_dis_chaos_invasion_network	399	668	
dyn_dis_wh3_main_combi_province_marshes_of_madness	dyn_dis_chaos_invasion_network	697	408	
dyn_dis_wh3_main_combi_province_middenland	dyn_dis_chaos_invasion_network	546	698	
dyn_dis_wh3_main_combi_province_mootland	dyn_dis_chaos_invasion_network	656	609	
dyn_dis_wh3_main_combi_province_mosquito_swamps	dyn_dis_chaos_invasion_network	227	268	
dyn_dis_wh3_main_combi_province_mount_li	dyn_dis_chaos_invasion_network	1377	415	
dyn_dis_wh3_main_combi_province_mountains_of_hel	dyn_dis_chaos_invasion_network	631	853	
dyn_dis_wh3_main_combi_province_mountains_of_mourn	dyn_dis_chaos_invasion_network	1006	574	
dyn_dis_wh3_main_combi_province_mountains_of_naglfari	dyn_dis_chaos_invasion_network	509	845	
dyn_dis_wh3_main_combi_province_mouth_of_ruin	dyn_dis_chaos_invasion_network	967	447	
dyn_dis_wh3_main_combi_province_nagarythe	dyn_dis_chaos_invasion_network	229	640	
dyn_dis_wh3_main_combi_province_nongchang_basin	dyn_dis_chaos_invasion_network	1261	500	
dyn_dis_wh3_main_combi_province_nordland	dyn_dis_chaos_invasion_network	545	760	
dyn_dis_wh3_main_combi_province_northern_grey_mountains	dyn_dis_chaos_invasion_network	449	615	
dyn_dis_wh3_main_combi_province_northern_sylvania	dyn_dis_chaos_invasion_network	674	627	
dyn_dis_wh3_main_combi_province_northern_wastes	dyn_dis_chaos_invasion_network	389	935	
dyn_dis_wh3_main_combi_province_northern_worlds_edge_mountains	dyn_dis_chaos_invasion_network	795	666	
dyn_dis_wh3_main_combi_province_northern_yvresse	dyn_dis_chaos_invasion_network	327	580	
dyn_dis_wh3_main_combi_province_obsidian_peaks	dyn_dis_chaos_invasion_network	124	718	
dyn_dis_wh3_main_combi_province_ostermark	dyn_dis_chaos_invasion_network	689	715	
dyn_dis_wh3_main_combi_province_ostland	dyn_dis_chaos_invasion_network	636	723	
dyn_dis_wh3_main_combi_province_path_to_the_east	dyn_dis_chaos_invasion_network	927	692	
dyn_dis_wh3_main_combi_province_peak_pass	dyn_dis_chaos_invasion_network	736	647	
dyn_dis_wh3_main_combi_province_phoenix_gate	dyn_dis_chaos_invasion_network	244	631	
dyn_dis_wh3_main_combi_province_pirates_current	dyn_dis_chaos_invasion_network	502	383	
dyn_dis_wh3_main_combi_province_plain_of_illusions	dyn_dis_chaos_invasion_network	737	926	
dyn_dis_wh3_main_combi_province_plains_of_xen	dyn_dis_chaos_invasion_network	1340	624	
dyn_dis_wh3_main_combi_province_red_desert	dyn_dis_chaos_invasion_network	24	697	
dyn_dis_wh3_main_combi_province_reikland	dyn_dis_chaos_invasion_network	515	646	
dyn_dis_wh3_main_combi_province_rib_peaks	dyn_dis_chaos_invasion_network	776	597	
dyn_dis_wh3_main_combi_province_river_brienne	dyn_dis_chaos_invasion_network	387	589	
dyn_dis_wh3_main_combi_province_river_lynsk	dyn_dis_chaos_invasion_network	635	781	
dyn_dis_wh3_main_combi_province_river_qurveza	dyn_dis_chaos_invasion_network	171	228	
dyn_dis_wh3_main_combi_province_river_urskoy	dyn_dis_chaos_invasion_network	707	734	
dyn_dis_wh3_main_combi_province_saphery	dyn_dis_chaos_invasion_network	300	572	
dyn_dis_wh3_main_combi_province_scorpion_coast	dyn_dis_chaos_invasion_network	152	325	
dyn_dis_wh3_main_combi_province_serpent_estuary	dyn_dis_chaos_invasion_network	1318	368	
dyn_dis_wh3_main_combi_province_shifting_sands	dyn_dis_chaos_invasion_network	636	256	
dyn_dis_wh3_main_combi_province_solland	dyn_dis_chaos_invasion_network	577	577	
dyn_dis_wh3_main_combi_province_southern_badlands	dyn_dis_chaos_invasion_network	630	368	
dyn_dis_wh3_main_combi_province_southern_grey_mountains	dyn_dis_chaos_invasion_network	545	563	
dyn_dis_wh3_main_combi_province_southern_jungles	dyn_dis_chaos_invasion_network	617	114	
dyn_dis_wh3_main_combi_province_southern_oblast	dyn_dis_chaos_invasion_network	730	695	
dyn_dis_wh3_main_combi_province_southern_sylvania	dyn_dis_chaos_invasion_network	721	621	
dyn_dis_wh3_main_combi_province_southern_worlds_edge_mountains	dyn_dis_chaos_invasion_network	794	462	
dyn_dis_wh3_main_combi_province_southern_yvresse	dyn_dis_chaos_invasion_network	305	531	
dyn_dis_wh3_main_combi_province_southlands_worlds_edge_mountains	dyn_dis_chaos_invasion_network	670	221	
dyn_dis_wh3_main_combi_province_spine_of_sotek	dyn_dis_chaos_invasion_network	123	206	
dyn_dis_wh3_main_combi_province_spiteful_peaks	dyn_dis_chaos_invasion_network	151	832	
dyn_dis_wh3_main_combi_province_stirland	dyn_dis_chaos_invasion_network	595	630	
dyn_dis_wh3_main_combi_province_stonesky_foothills	dyn_dis_chaos_invasion_network	1175	701	
dyn_dis_wh3_main_combi_province_talabecland	dyn_dis_chaos_invasion_network	592	685	
dyn_dis_wh3_main_combi_province_talsyn	dyn_dis_chaos_invasion_network	524	519	
dyn_dis_wh3_main_combi_province_the_abyssal_glacier	dyn_dis_chaos_invasion_network	562	27	
dyn_dis_wh3_main_combi_province_the_black_flood	dyn_dis_chaos_invasion_network	143	777	
dyn_dis_wh3_main_combi_province_the_blasted_wastes	dyn_dis_chaos_invasion_network	836	658	
dyn_dis_wh3_main_combi_province_the_bleak_coast	dyn_dis_chaos_invasion_network	135	588	
dyn_dis_wh3_main_combi_province_the_blighted_marshes	dyn_dis_chaos_invasion_network	464	450	
dyn_dis_wh3_main_combi_province_the_blood_marshes	dyn_dis_chaos_invasion_network	914	876	
dyn_dis_wh3_main_combi_province_the_broken_lands	dyn_dis_chaos_invasion_network	265	801	
dyn_dis_wh3_main_combi_province_the_capes	dyn_dis_chaos_invasion_network	292	96	
dyn_dis_wh3_main_combi_province_the_clawed_coast	dyn_dis_chaos_invasion_network	173	730	
dyn_dis_wh3_main_combi_province_the_cold_mires	dyn_dis_chaos_invasion_network	473	939	
dyn_dis_wh3_main_combi_province_the_cracked_land	dyn_dis_chaos_invasion_network	538	297	
dyn_dis_wh3_main_combi_province_the_creeping_jungle	dyn_dis_chaos_invasion_network	92	369	
dyn_dis_wh3_main_combi_province_the_cursed_city	dyn_dis_chaos_invasion_network	718	761	
dyn_dis_wh3_main_combi_province_the_daemonium_hills	dyn_dis_chaos_invasion_network	700	21	
dyn_dis_wh3_main_combi_province_the_desolation_of_azgorh	dyn_dis_chaos_invasion_network	845	508	
dyn_dis_wh3_main_combi_province_the_dragon_isles	dyn_dis_chaos_invasion_network	976	389	
dyn_dis_wh3_main_combi_province_the_eternal_lagoon	dyn_dis_chaos_invasion_network	581	949	
dyn_dis_wh3_main_combi_province_the_golden_pass	dyn_dis_chaos_invasion_network	730	180	
dyn_dis_wh3_main_combi_province_the_great_canal	dyn_dis_chaos_invasion_network	1264	420	
dyn_dis_wh3_main_combi_province_the_great_ocean	dyn_dis_chaos_invasion_network	259	459	
dyn_dis_wh3_main_combi_province_the_gwangee_valley	dyn_dis_chaos_invasion_network	87	311	
dyn_dis_wh3_main_combi_province_the_haunted_forest	dyn_dis_chaos_invasion_network	1054	416	
dyn_dis_wh3_main_combi_province_the_howling_wastes	dyn_dis_chaos_invasion_network	940	486	
dyn_dis_wh3_main_combi_province_the_ice_fire_plains	dyn_dis_chaos_invasion_network	305	27	
dyn_dis_wh3_main_combi_province_the_isthmus_coast	dyn_dis_chaos_invasion_network	114	513	
dyn_dis_wh3_main_combi_province_the_jungles_of_the_gods	dyn_dis_chaos_invasion_network	706	121	
dyn_dis_wh3_main_combi_province_the_lost_valley	dyn_dis_chaos_invasion_network	185	198	
dyn_dis_wh3_main_combi_province_the_maw	dyn_dis_chaos_invasion_network	1074	507	
dyn_dis_wh3_main_combi_province_the_misty_hills	dyn_dis_chaos_invasion_network	501	697	
dyn_dis_wh3_main_combi_province_the_night_forest_road	dyn_dis_chaos_invasion_network	201	125	
dyn_dis_wh3_main_combi_province_the_noisome_tumour	dyn_dis_chaos_invasion_network	652	942	
dyn_dis_wh3_main_combi_province_the_plain_of_bones	dyn_dis_chaos_invasion_network	880	446	
dyn_dis_wh3_main_combi_province_the_plain_of_zharr	dyn_dis_chaos_invasion_network	939	640	
dyn_dis_wh3_main_combi_province_the_red_wastes	dyn_dis_chaos_invasion_network	1305	667	
dyn_dis_wh3_main_combi_province_the_road_of_skulls	dyn_dis_chaos_invasion_network	200	829	
dyn_dis_wh3_main_combi_province_the_sacred_pools	dyn_dis_chaos_invasion_network	156	251	
dyn_dis_wh3_main_combi_province_the_shard_lands	dyn_dis_chaos_invasion_network	371	880	
dyn_dis_wh3_main_combi_province_the_silver_road	dyn_dis_chaos_invasion_network	742	540	
dyn_dis_wh3_main_combi_province_the_skull_road	dyn_dis_chaos_invasion_network	881	773	
dyn_dis_wh3_main_combi_province_the_southern_wastes	dyn_dis_chaos_invasion_network	442	43	
dyn_dis_wh3_main_combi_province_the_turtle_isles	dyn_dis_chaos_invasion_network	40	258	
dyn_dis_wh3_main_combi_province_the_vaults	dyn_dis_chaos_invasion_network	563	515	
dyn_dis_wh3_main_combi_province_the_wasteland	dyn_dis_chaos_invasion_network	440	662	
dyn_dis_wh3_main_combi_province_the_witchs_wood	dyn_dis_chaos_invasion_network	532	721	
dyn_dis_wh3_main_combi_province_the_witchwood	dyn_dis_chaos_invasion_network	78	657	
dyn_dis_wh3_main_combi_province_the_wolf_lands	dyn_dis_chaos_invasion_network	912	535	
dyn_dis_wh3_main_combi_province_tilea	dyn_dis_chaos_invasion_network	507	449	
dyn_dis_wh3_main_combi_province_tiranoc	dyn_dis_chaos_invasion_network	183	602	
dyn_dis_wh3_main_combi_province_titan_peaks	dyn_dis_chaos_invasion_network	75	581	
dyn_dis_wh3_main_combi_province_torgovann	dyn_dis_chaos_invasion_network	514	550	
dyn_dis_wh3_main_combi_province_troll_country	dyn_dis_chaos_invasion_network	692	786	
dyn_dis_wh3_main_combi_province_trollheim_mountains	dyn_dis_chaos_invasion_network	644	816	
dyn_dis_wh3_main_combi_province_unicorn_gate	dyn_dis_chaos_invasion_network	209	619	
dyn_dis_wh3_main_combi_province_vampire_coast	dyn_dis_chaos_invasion_network	264	261	
dyn_dis_wh3_main_combi_province_vanaheim_mountains	dyn_dis_chaos_invasion_network	462	802	
dyn_dis_wh3_main_combi_province_volcanic_islands	dyn_dis_chaos_invasion_network	268	214	
dyn_dis_wh3_main_combi_province_warpstone_desert	dyn_dis_chaos_invasion_network	1121	561	
dyn_dis_wh3_main_combi_province_wastelands_of_jinshen	dyn_dis_chaos_invasion_network	1139	494	
dyn_dis_wh3_main_combi_province_western_badlands	dyn_dis_chaos_invasion_network	641	435	
dyn_dis_wh3_main_combi_province_western_border_princes	dyn_dis_chaos_invasion_network	581	441	
dyn_dis_wh3_main_combi_province_western_great_bastion	dyn_dis_chaos_invasion_network	1182	657	
dyn_dis_wh3_main_combi_province_western_jungles	dyn_dis_chaos_invasion_network	536	195	
dyn_dis_wh3_main_combi_province_western_oblast	dyn_dis_chaos_invasion_network	625	789	
dyn_dis_wh3_main_combi_province_winters_teeth_pass	dyn_dis_chaos_invasion_network	576	551	
dyn_dis_wh3_main_combi_province_wissenland	dyn_dis_chaos_invasion_network	541	612	
dyn_dis_wh3_main_combi_province_wydrioth	dyn_dis_chaos_invasion_network	517	550	
dyn_dis_wh3_main_combi_province_wyrm_pass	dyn_dis_chaos_invasion_network	1080	444	
dyn_dis_wh3_main_combi_province_yn_edri_eternos	dyn_dis_chaos_invasion_network	508	541	
dyn_dis_wh3_main_combi_province_zorn_uzkul	dyn_dis_chaos_invasion_network	848	732	
